Movie_Id,count,mean
1,547,3.749542961608775
2,145,3.5586206896551724
3,2012,3.6411530815109345
4,142,2.73943661971831
5,1140,3.9192982456140353
6,1019,3.084396467124632
7,93,2.129032258064516
8,14910,3.1898054996646548
9,95,2.6210526315789475
10,249,3.180722891566265
11,198,3.0303030303030303
12,546,3.4175824175824174
13,125,4.552
14,118,3.0254237288135593
15,290,3.286206896551724
16,2699,3.0985550203779177
17,7108,2.90320765334834
18,10722,3.7843685879500093
19,539,3.324675324675325
20,116,3.146551724137931
21,218,3.463302752293578
22,203,2.2463054187192117
23,615,3.55609756097561
24,1333,2.9939984996249063
25,1207,3.9701739850869924
26,5861,2.7937212079849854
27,273,3.5274725274725274
28,39752,3.823254175890521
29,523,3.598470363288719
30,118413,3.7618420274800908
31,221,3.0542986425339365
32,1854,4.071736785329018
33,6890,4.168650217706822
34,108,2.712962962962963
35,839,3.1454112038140645
36,939,3.020234291799787
37,281,3.9893238434163703
38,802,2.0511221945137157
39,752,2.4361702127659575
40,491,2.920570264765784
41,93,1.6344086021505377
42,128,2.328125
43,105,2.5714285714285716
44,8501,3.6840371720974003
45,2619,2.9686903398243603
46,6558,3.8064958828911255
47,2350,3.266382978723404
48,3591,3.7109440267335003
49,231,3.6666666666666665
50,328,3.027439024390244
51,90,3.566666666666667
52,5147,3.7571400816009324
53,114,1.6754385964912282
54,159,2.9874213836477987
55,2406,3.024522028262677
56,1833,3.6486633933442443
57,3562,3.6785513756316677
58,17405,3.6120080436656132
59,204,2.7892156862745097
60,295,2.1491525423728812
61,147,2.9523809523809526
62,290,3.6241379310344826
63,184,3.25
64,95,2.4210526315789473
65,258,2.3294573643410854
66,166,2.2951807228915664
67,289,2.557093425605536
68,2216,4.14259927797834
69,116,3.293103448275862
70,343,2.7317784256559765
71,1561,3.7700192184497117
72,179,3.1452513966480447
73,747,3.891566265060241
74,388,3.185567010309278
75,219,2.5707762557077625
76,2954,4.090385917400136
77,13598,2.852772466539197
78,4850,2.9416494845360823
79,3397,3.765381218722402
80,274,2.7992700729927007
81,1249,3.4395516413130505
82,119,3.042016806722689
83,18724,3.729331339457381
84,2752,3.2212936046511627
85,266,4.2518796992481205
86,176,1.9545454545454546
87,117,2.8119658119658117
88,978,3.8353783231083844
89,878,2.6913439635535306
90,625,3.496
91,567,3.8959435626102294
92,161,3.5652173913043477
93,174,2.689655172413793
94,342,3.6842105263157894
95,935,2.5828877005347595
96,488,3.3688524590163933
97,11508,3.87182829336114
98,130,3.9153846153846152
99,126,2.4206349206349205
100,78,2.6538461538461537
101,330,3.3727272727272726
102,330,2.7363636363636363
103,209,3.6555023923444976
104,3500,3.6977142857142855
105,192,3.1302083333333335
106,940,4.097872340425532
107,829,3.3522316043425815
108,19018,3.167315175097276
109,545,2.677064220183486
110,2159,3.0338119499768412
111,30127,3.0828824642347397
112,239,3.00418410041841
113,1393,3.8851399856424984
114,428,3.366822429906542
115,666,3.539039039039039
116,1126,3.539076376554174
117,981,3.46177370030581
118,19240,3.432952182952183
119,96,2.6979166666666665
120,339,2.424778761061947
121,99,3.6161616161616164
122,3382,2.911886457717327
123,276,2.8333333333333335
